m,n,l,r,q,easiness_alpha,easiness_beta,iternum,method,error
250.0,250.0,9.0,9.0,0.3,50.0,1e-06,5.0,kos,0.204
1000.0,1000.0,9.0,9.0,0.3,50.0,1e-06,5.0,kos,0.083
4000.0,4000.0,9.0,9.0,0.3,50.0,1e-06,5.0,kos,0.11575
63.0,63.0,11.0,11.0,0.3,50.0,1e-06,5.0,kos,0.031746031746031744
250.0,250.0,11.0,11.0,0.3,50.0,1e-06,5.0,kos,0.076
1000.0,1000.0,11.0,11.0,0.3,50.0,1e-06,5.0,kos,0.075
4000.0,4000.0,11.0,11.0,0.3,50.0,1e-06,5.0,kos,0.07575
63.0,63.0,13.0,13.0,0.3,50.0,1e-06,5.0,kos,0.12698412698412698
250.0,250.0,13.0,13.0,0.3,50.0,1e-06,5.0,kos,0.008
1000.0,1000.0,13.0,13.0,0.3,50.0,1e-06,5.0,kos,0.048
4000.0,4000.0,13.0,13.0,0.3,50.0,1e-06,5.0,kos,0.05375
63.0,63.0,15.0,15.0,0.3,50.0,1e-06,5.0,kos,0.0
250.0,250.0,15.0,15.0,0.3,50.0,1e-06,5.0,kos,0.056
1000.0,1000.0,15.0,15.0,0.3,50.0,1e-06,5.0,kos,0.034
4000.0,4000.0,15.0,15.0,0.3,50.0,1e-06,5.0,kos,0.03
63.0,63.0,1.0,1.0,0.3,50.0,1e-06,6.0,kos,1.0
250.0,250.0,1.0,1.0,0.3,50.0,1e-06,6.0,kos,1.0
1000.0,1000.0,1.0,1.0,0.3,50.0,1e-06,6.0,kos,1.0
4000.0,4000.0,1.0,1.0,0.3,50.0,1e-06,6.0,kos,1.0
63.0,63.0,3.0,3.0,0.3,50.0,1e-06,6.0,kos,0.2222222222222222
250.0,250.0,3.0,3.0,0.3,50.0,1e-06,6.0,kos,0.404
1000.0,1000.0,3.0,3.0,0.3,50.0,1e-06,6.0,kos,0.407
4000.0,4000.0,3.0,3.0,0.3,50.0,1e-06,6.0,kos,0.422
63.0,63.0,5.0,5.0,0.3,50.0,1e-06,6.0,kos,0.2857142857142857
250.0,250.0,5.0,5.0,0.3,50.0,1e-06,6.0,kos,0.324
1000.0,1000.0,5.0,5.0,0.3,50.0,1e-06,6.0,kos,0.339
4000.0,4000.0,5.0,5.0,0.3,50.0,1e-06,6.0,kos,0.306
63.0,63.0,6.0,6.0,0.3,50.0,1e-06,6.0,kos,0.20634920634920634
250.0,250.0,6.0,6.0,0.3,50.0,1e-06,6.0,kos,0.388
1000.0,1000.0,6.0,6.0,0.3,50.0,1e-06,6.0,kos,0.265
4000.0,4000.0,6.0,6.0,0.3,50.0,1e-06,6.0,kos,0.2635
63.0,63.0,7.0,7.0,0.3,50.0,1e-06,6.0,kos,0.14285714285714285
250.0,250.0,7.0,7.0,0.3,50.0,1e-06,6.0,kos,0.172
1000.0,1000.0,7.0,7.0,0.3,50.0,1e-06,6.0,kos,0.222
4000.0,4000.0,7.0,7.0,0.3,50.0,1e-06,6.0,kos,0.21975
63.0,63.0,9.0,9.0,0.3,50.0,1e-06,6.0,kos,0.12698412698412698
250.0,250.0,9.0,9.0,0.3,50.0,1e-06,6.0,kos,0.188
1000.0,1000.0,9.0,9.0,0.3,50.0,1e-06,6.0,kos,0.141
4000.0,4000.0,9.0,9.0,0.3,50.0,1e-06,6.0,kos,0.13375
63.0,63.0,11.0,11.0,0.3,50.0,1e-06,6.0,kos,0.07936507936507936
250.0,250.0,11.0,11.0,0.3,50.0,1e-06,6.0,kos,0.128
1000.0,1000.0,11.0,11.0,0.3,50.0,1e-06,6.0,kos,0.061
4000.0,4000.0,11.0,11.0,0.3,50.0,1e-06,6.0,kos,0.088
63.0,63.0,13.0,13.0,0.3,50.0,1e-06,6.0,kos,0.031746031746031744
250.0,250.0,13.0,13.0,0.3,50.0,1e-06,6.0,kos,0.036
1000.0,1000.0,13.0,13.0,0.3,50.0,1e-06,6.0,kos,0.094
4000.0,4000.0,13.0,13.0,0.3,50.0,1e-06,6.0,kos,0.0545
63.0,63.0,15.0,15.0,0.3,50.0,1e-06,6.0,kos,0.031746031746031744
250.0,250.0,15.0,15.0,0.3,50.0,1e-06,6.0,kos,0.016
1000.0,1000.0,15.0,15.0,0.3,50.0,1e-06,6.0,kos,0.023
4000.0,4000.0,15.0,15.0,0.3,50.0,1e-06,6.0,kos,0.0235
63.0,63.0,1.0,1.0,0.3,50.0,1e-06,7.0,kos,1.0
250.0,250.0,1.0,1.0,0.3,50.0,1e-06,7.0,kos,1.0
1000.0,1000.0,1.0,1.0,0.3,50.0,1e-06,7.0,kos,1.0
4000.0,4000.0,1.0,1.0,0.3,50.0,1e-06,7.0,kos,1.0
63.0,63.0,3.0,3.0,0.3,50.0,1e-06,7.0,kos,0.3968253968253968
250.0,250.0,3.0,3.0,0.3,50.0,1e-06,7.0,kos,0.404
1000.0,1000.0,3.0,3.0,0.3,50.0,1e-06,7.0,kos,0.406
4000.0,4000.0,3.0,3.0,0.3,50.0,1e-06,7.0,kos,0.40875
63.0,63.0,5.0,5.0,0.3,50.0,1e-06,7.0,kos,0.31746031746031744
250.0,250.0,5.0,5.0,0.3,50.0,1e-06,7.0,kos,0.268
1000.0,1000.0,5.0,5.0,0.3,50.0,1e-06,7.0,kos,0.331
4000.0,4000.0,5.0,5.0,0.3,50.0,1e-06,7.0,kos,0.3295
63.0,63.0,6.0,6.0,0.3,50.0,1e-06,7.0,kos,0.23809523809523808
250.0,250.0,6.0,6.0,0.3,50.0,1e-06,7.0,kos,0.248
1000.0,1000.0,6.0,6.0,0.3,50.0,1e-06,7.0,kos,0.279
4000.0,4000.0,6.0,6.0,0.3,50.0,1e-06,7.0,kos,0.24775
63.0,63.0,7.0,7.0,0.3,50.0,1e-06,7.0,kos,0.12698412698412698
250.0,250.0,7.0,7.0,0.3,50.0,1e-06,7.0,kos,0.152
1000.0,1000.0,7.0,7.0,0.3,50.0,1e-06,7.0,kos,0.199
4000.0,4000.0,7.0,7.0,0.3,50.0,1e-06,7.0,kos,0.214
63.0,63.0,9.0,9.0,0.3,50.0,1e-06,7.0,kos,0.23809523809523808
250.0,250.0,9.0,9.0,0.3,50.0,1e-06,7.0,kos,0.14
1000.0,1000.0,9.0,9.0,0.3,50.0,1e-06,7.0,kos,0.12
4000.0,4000.0,9.0,9.0,0.3,50.0,1e-06,7.0,kos,0.131
63.0,63.0,11.0,11.0,0.3,50.0,1e-06,7.0,kos,0.14285714285714285
250.0,250.0,11.0,11.0,0.3,50.0,1e-06,7.0,kos,0.056
1000.0,1000.0,11.0,11.0,0.3,50.0,1e-06,7.0,kos,0.073
4000.0,4000.0,11.0,11.0,0.3,50.0,1e-06,7.0,kos,0.08525
63.0,63.0,13.0,13.0,0.3,50.0,1e-06,7.0,kos,0.031746031746031744
250.0,250.0,13.0,13.0,0.3,50.0,1e-06,7.0,kos,0.032
1000.0,1000.0,13.0,13.0,0.3,50.0,1e-06,7.0,kos,0.051
4000.0,4000.0,13.0,13.0,0.3,50.0,1e-06,7.0,kos,0.057
63.0,63.0,15.0,15.0,0.3,50.0,1e-06,7.0,kos,0.0
250.0,250.0,15.0,15.0,0.3,50.0,1e-06,7.0,kos,0.028
1000.0,1000.0,15.0,15.0,0.3,50.0,1e-06,7.0,kos,0.029
4000.0,4000.0,15.0,15.0,0.3,50.0,1e-06,7.0,kos,0.02575
63.0,63.0,1.0,1.0,0.3,50.0,1e-06,8.0,kos,1.0
250.0,250.0,1.0,1.0,0.3,50.0,1e-06,8.0,kos,1.0
1000.0,1000.0,1.0,1.0,0.3,50.0,1e-06,8.0,kos,1.0
4000.0,4000.0,1.0,1.0,0.3,50.0,1e-06,8.0,kos,1.0
63.0,63.0,3.0,3.0,0.3,50.0,1e-06,8.0,kos,0.42857142857142855
250.0,250.0,3.0,3.0,0.3,50.0,1e-06,8.0,kos,0.476
